SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
PI;VERA MENDES;VEREADOR;JOSE AIRES DE PAULO;PROFESSOR ZE AIRES;PI;03/01/1980;ELEITO POR QP
MG;LUZ;VEREADOR;MATEUS OLIVEIRA ARAÈJO;MATEUS ARAÈJO;MG;10/10/1998;ELEITO POR MêDIA
PI;BARRA D'ALC∂NTARA;VEREADOR;GILVAN PEREIRA DA SILVA;GILVAN DA OT÷LIA;PI;30/07/1978;ELEITO POR QP
PI;PRATA DO PIAU÷;VEREADOR;PHELYPE BRUNO LIMA SANTOS;FELIPE BARBOSA;PI;28/04/1992;ELEITO POR QP
BA;IBOTIRAMA;VEREADOR;FRANCISCO ALEXANDRINO DOS SANTOS FILHO;FRANCISCO DA PESCA;BA;18/11/1966;ELEITO POR QP
PR;CAMPO BONITO;VEREADOR;LUIZ CARLOS DE BORBA;PEZ«O;PR;25/05/1973;ELEITO POR QP
PR;JUNDIA÷ DO SUL;VEREADOR;ANTONIO CARLO VIEIRA;ANTONIO CARLOS DO POVO;PR;03/04/1971;ELEITO POR QP
PR;BELA VISTA DO PARA÷SO;VEREADOR;RONDINELE BELUCI MEIRA;RONDINELE;PR;02/12/1979;ELEITO POR QP
PR;CAMBIRA;VEREADOR;MARCIO ADRIANO CAETANO;MARCIO DA CIDBEL;PR;31/01/1979;ELEITO POR MêDIA
RS;SANTO AUGUSTO;VEREADOR;OMAR ANGELO SANTI;OMAR ANGELO SANTI  MANO;RS;05/11/1976;ELEITO POR MêDIA
MG;NOVA SERRANA;VEREADOR;NAIDE APARECIDA SANTOS ROBERTO;NAIDE SANTOS;MG;10/04/1995;ELEITO POR MêDIA
MG;NOVA SERRANA;VEREADOR;CLEITON JOSê GONÄALVES;CLEITON SURF STAR;MG;15/02/1975;ELEITO POR QP
PI;JARDIM DO MULATO;PREFEITO;DEJAIR LIMA DE SOUSA;BINHA;PI;31/08/1979;ELEITO
RS;S«O JOSê DO NORTE;VEREADOR;ILDOMAR XAVIER DA COSTA;ILDO POLACO;RS;20/06/1973;ELEITO POR MêDIA
RS;SENADOR SALGADO FILHO;VEREADOR;CLAUDINEI DE MATOS;CLAUDINEI;RS;06/11/1991;ELEITO POR QP
MG;CAPARA‡;VEREADOR;RENAN BATISTA GONÄALVES;RENAN DA TIA SANDRA;RJ;11/08/1984;ELEITO POR QP
RJ;S«O FIDêLIS;PREFEITO;JOSê WILLIAM RIBEIRO DE OLIVEIRA;JOSê WILLIAM;RJ;23/04/1964;ELEITO
MG;COMERCINHO;VEREADOR;EMANOEL PEREIRA PATENTE;MANOEL MARIA DE ADALIO;MG;06/09/1981;ELEITO POR QP
MG;CONGONHAS;VEREADOR;GERSON DANIEL DE DEUS;GERSON GORDO;MG;02/06/1973;ELEITO POR QP
MG;SALTO DA DIVISA;VEREADOR;RAQUEL BONFIM PIMENTA PEIXOTO;RAQUEL PIMENTA;MG;03/07/1986;ELEITO POR MêDIA
RJ;S«O GONÄALO;VEREADOR;ALCEMIR DE OLIVEIRA MACIEL;ALCEMIR MACIEL;RJ;15/03/1976;ELEITO POR QP
MG;DELFIN‡POLIS;VEREADOR;EDUARDO ANT‚NIO PINTO;EDUARDO PINTO;MG;10/02/1968;ELEITO POR QP
MG;CORDISL∂NDIA;VEREADOR;JOSê RICARDO MENDES;RICARDO DA MATA;MG;27/11/1964;ELEITO POR QP
MG;DONA EUSêBIA;VEREADOR;JESUALDO ALVES;JESUALDO DO JACARê;MG;14/12/1966;ELEITO POR MêDIA
MG;ENTRE FOLHAS;VEREADOR;GILDA DIAS TOSTES;GILDA;MG;27/07/1965;ELEITO POR QP
MG;JAPONVAR;VEREADOR;JOAO EUDES FERREIRA;EUDES DE BRAS;MG;05/01/1972;ELEITO POR QP
MG;JAPONVAR;VEREADOR;DOMINGOS BORGES BATISTA;ELVIS BORGES;BA;12/12/1972;ELEITO POR MêDIA
MA;PERITOR‡;PREFEITO;JOSUE PINHO DA SILVA JUNIOR;DR JUNIOR;MA;19/12/1981;ELEITO
MA;PIO XII;PREFEITO;AURêLIO PEREIRA DE SOUSA;AURêLIO DA FARMµCIA;PI;12/04/1978;ELEITO
RN;JARDIM DO SERID‡;VEREADOR;JULIANA SABINO DE OLIVEIRA;JULIANA SAMPAIO;RN;26/01/1983;ELEITO POR MêDIA
RN;S«O MIGUEL DO GOSTOSO;VEREADOR;LUIZ RIBEIRO DA SILVA NETO;NETO DA SAÈDE;RN;28/03/1976;ELEITO POR QP
RN;TABOLEIRO GRANDE;VEREADOR;JEFFSON ALVES;JEFFSON ALVES;RN;28/10/1975;ELEITO POR QP
RO;ALVORADA DO OESTE;VEREADOR;UELINTON DE OLIVEIRA ROSA;BIRIBA DA 44;MT;02/10/1988;ELEITO POR QP
MG;MATUTINA;VEREADOR;MARIA DE LOURDES LIMA MELO;LOURDINHA DO SIG“;MG;22/06/1966;ELEITO POR QP
RO;ARIQUEMES;VEREADOR;RAFAELA AMELIA OLIVEIRA LIMA;RAFAELA DO BATISTA;RO;16/09/1988;ELEITO POR QP
MG;ICARA÷ DE MINAS;VEREADOR;EDVALDO MENDES GONÄALVES;DIVALDIM DIVAS;MG;01/03/1984;ELEITO POR MêDIA
RS;µGUA SANTA;VEREADOR;GILBERTO FAVRETTO;GIBA;RS;08/02/1963;ELEITO POR QP
RS;CATU÷PE;VEREADOR;WILSON RIBEIRO DA SILVEIRA;WILSON RIBEIRO DA SILVEIRA;RS;04/02/1998;ELEITO POR QP
MG;ITANHOMI;VEREADOR;MARIA MARGARIDA DE OLIVEIRA;GA÷DA ZAPE;MG;16/04/1958;ELEITO POR QP
RS;CERRITO;VEREADOR;JOAO NEDI FERREIRA DE CASTRO;JO«O NEDI;RS;07/04/1966;ELEITO POR QP
TO;ARRAIAS;VEREADOR;JOIL ALVES DE ALMEIDA;JOIL;TO;10/05/1974;ELEITO POR QP
TO;PONTE ALTA DO TOCANTINS;VEREADOR;LEANDRO GOMES DE SOUSA;LêO GOMES;TO;17/08/1992;ELEITO POR MêDIA
MG;SANTANA DA VARGEM;VEREADOR;JACKSON LUIZ VENANCIO DE SOUZA;JACKSON ELETRICISTA;MG;08/06/1991;ELEITO POR MêDIA
MG;SERRAN‡POLIS DE MINAS;VEREADOR;FARLEY LEANDRO ALVES;LIU DO GERAIS;MG;04/09/1995;ELEITO POR QP
