SG_UF;NM_UE;DS_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF_NASCIMENTO;DT_NASCIMENTO;DS_SIT_TOT_TURNO
GO;LUZI∂NIA;PREFEITO;DIEGO VAZ SORGATTO;DIEGO SORGATTO;GO;10/08/1990;ELEITO
BA;SANTO ANT‚NIO DE JESUS;VEREADOR;COSME JO«O SOUZA DOS SANTOS;COSME DA SAUDE;BA;27/09/1977;ELEITO POR MêDIA
RS;SAPUCAIA DO SUL;VEREADOR;CLAUDIONOR BAPTISTA TAVARES;CLµUDIO BOZO;RS;23/03/1953;ELEITO POR MêDIA
SP;BARBOSA;VEREADOR;JO«O DOS REIS MARTINS;JO«O BOI;SP;01/02/1962;ELEITO POR QP
CE;FORQUILHA;VEREADOR;LEONARDO MARTINS RODRIGUES;LEO GALINHA;CE;28/08/1991;ELEITO POR MêDIA
CE;ITAREMA;VEREADOR;CARLOS RANIE MONTEIRO GOMES;RANIE MONTEIRO;CE;12/03/1982;ELEITO POR QP
SP;BARBOSA;VEREADOR;VALDECIR MAURICIO DE OLIVEIRA;DE DA HORTA;SP;24/12/1965;ELEITO POR QP
RS;TEUT‚NIA;VEREADOR;JEFERSON LUIS KORNER;JEFERSON KORNER;RS;05/12/1991;ELEITO POR QP
RS;VACARIA;VEREADOR;MOACIR JOSê BOSSARDI;MOACIR BOSSARDI SAÈDE;RS;13/11/1956;ELEITO POR MêDIA
SP;CAJAMAR;VEREADOR;MANOEL PEREIRA FILHO;MANê DO AMêRICA;PE;19/11/1957;ELEITO POR MêDIA
SP;CAJAMAR;VEREADOR;IZELDA GONÄALVES CARNAÈBA CINTRA;IZELDA;CE;25/01/1963;ELEITO POR QP
CE;MASSAP“;VEREADOR;FRANCISCO MARCOS ARAUJO ELIAS;MARCOS DO GAS;CE;05/06/1974;ELEITO POR QP
CE;MASSAP“;VEREADOR;CLAUTENIS MARIA BRAZ RICARDO;NEGUINHA;CE;09/12/1986;ELEITO POR QP
SP;CAP«O BONITO;VEREADOR;CELIO DE MELO;CELI«O CANTOR;SP;04/11/1968;ELEITO POR MêDIA
CE;FORTALEZA;VEREADOR;GABRIEL LIMA DE AGUIAR;GABRIEL BIOLOGIA;CE;19/03/1995;ELEITO POR QP
MG;CORONEL FABRICIANO;VEREADOR;LUCIANO LUG«O DA SILVA;LUG«O;MG;10/03/1978;ELEITO POR QP
SP;ITIRAPINA;VEREADOR;RODRIGO AUGUSTO DA SILVA RODRIGUES;RODRIGO RODRIGUES;SP;12/05/1988;ELEITO POR QP
GO;ACREÈNA;VEREADOR;ADEMIR MOISES DE SOUSA;LULA DA AMBUL∂NCIA ;GO;05/02/1965;ELEITO POR QP
GO;ACREÈNA;VEREADOR;JUAREZ ANTONIO TAVARES;JUAREZ DO SAL«O;GO;06/02/1976;ELEITO POR QP
MG;CRISTINA;VEREADOR;ANTONIO JOSE MARINHO;NHANHACO;MG;25/02/1963;ELEITO POR MêDIA
MG;DELFIM MOREIRA;VEREADOR;SEBASTI«O DOS SANTOS FORTES VIEIRA;SEBASTI«O VIEIRA;MG;09/06/1993;ELEITO POR QP
GO;ANICUNS;VEREADOR;WANDELMIR ALVES MARCELINO;PROFESSOR WANDELMIR;GO;13/08/1967;ELEITO POR MêDIA
CE;PALHANO;VEREADOR;JOAO ANTONIO DE SENA NETO;JOAO DA AGRICULTURA;CE;27/08/1976;ELEITO POR QP
MG;FRANCISC‡POLIS;VEREADOR;ANTONIO LOPES SOARES;ANTONIO DO BANANAL;MG;09/05/1960;ELEITO POR MêDIA
CE;TAUµ;VEREADOR;FRANCISCO WELLINGHTON URBANO CAVALCANTE;WELLINGHTON;CE;07/03/1966;ELEITO POR QP
SP;SANDOVALINA;VEREADOR;JOSê ROBERTO DOS SANTOS;BETO DA SAÈDE;SP;22/03/1973;ELEITO POR MêDIA
GO;µGUA FRIA DE GOIµS;VEREADOR;FERNANDA SANTOS MOURA CASTRO;FERNANDA CASTRO;AL;22/07/1981;ELEITO POR MêDIA
GO;µGUA FRIA DE GOIµS;VEREADOR;EDINEI VIEIRA DA SILVA;DINEI SILVA;DF;09/04/1986;ELEITO POR QP
GO;µGUA LIMPA;VEREADOR;ALEXANDER DIAS DE PAIVA MATOS;ALEX PAIVA;GO;20/06/1981;ELEITO POR QP
SP;SUD MENNUCCI;VEREADOR;PAULA ANDRESSA PORTO ALEGRE;PAULA ALEGRE;SP;02/06/1976;ELEITO POR QP
GO;RIALMA;VEREADOR;ELAINE GREGORIO AURELIANO DA CRUZ MACEDO;PROFESSORA ELAINE GREG‡RIO;GO;31/10/1979;ELEITO POR MêDIA
GO;SANTA TEREZINHA DE GOIµS;VEREADOR;µLVARO ELIAS DE SOUZA;IRM«O µLVARO;GO;28/06/1993;ELEITO POR QP
MA;ANAJATUBA;VEREADOR;TIAGO LOIOLA DA FONSECA;TIAGO LOIOLA;CE;22/09/2000;ELEITO POR MêDIA
GO;CATAL«O;VEREADOR;LUIZ SOCORRO MOREIRA;LUIZ PAMONHEIRO;TO;24/01/1969;ELEITO POR QP
PA;FARO;VEREADOR;BRUNA PINHEIRO PEREIRA;BRUNA;AM;05/02/1986;ELEITO POR QP
MG;ORIZ∂NIA;VEREADOR;FELIX DIAS FERREIRA;FELINHO;MG;19/05/1988;ELEITO POR QP
PA;SANTA LUZIA DO PARµ;VEREADOR;JOSê MARIA DA COSTA SILVA;NEGUINHO COCO;MA;19/07/1955;ELEITO POR QP
MG;POTê;VEREADOR;JOSE LUCIO ROCHA SOARES DOS SANTOS;LUCINHO;MG;01/07/1994;ELEITO POR QP
PA;S«O JO«O DA PONTA;VEREADOR;JERRY JAIRON LOBO BRAGA;JERRY BRAGA;PA;09/11/1980;ELEITO POR MêDIA
MG;SALINAS;VEREADOR;JO«O LUIZ PINHO SILVA;JO«O LUIZ DE NEG«O;MG;22/06/1990;ELEITO POR QP
MA;MARACAÄUMê;VEREADOR;ANTONIO CARLOS CAMPOS;PAIX«O;MA;04/12/1957;ELEITO POR QP
PB;CACIMBAS;VEREADOR;AURICELIA ARRUDA CRUZ;CELHINHA;PB;06/12/1986;ELEITO POR QP
PB;CONDADO;VEREADOR;GENILDO REM÷GIO DOS SANTOS;GENILDO;PB;13/10/1956;ELEITO POR QP
PB;PATOS;VEREADOR;MARILUCIA DE LIRA SOUZA;LUCIA DE CHICA MOTTA;PB;09/04/1969;ELEITO POR QP
PB;PRATA;VEREADOR;ADENILSON TEMBORIO DA SILVA;ADENILSON CAFê;PB;10/10/1981;ELEITO POR QP
PB;PRATA;VEREADOR;JOSê ERINALDO DE SOUSA;B‚BO;PB;04/08/1977;ELEITO POR QP
MG;SERRA AZUL DE MINAS;VEREADOR;MARLI DAS DORES PIRES;MARLI DE GERALDO DUARTE;MG;18/05/1990;ELEITO POR QP
MS;ANAURIL∂NDIA;VEREADOR;ADRIANO GONÄALVES DA SILVA;ADRIANO DA EDUCAÄ«O;MS;21/09/1972;ELEITO POR QP
MS;ANAURIL∂NDIA;VEREADOR;LEONARDO DE JESUS GODOY PLATERO;LEONARDO PLATERO;MS;01/02/1996;ELEITO POR QP
PE;BELêM DE MARIA;VEREADOR;FLORIANO VELOSO DE CARVALHO NETO;FRANK FISCAL DO POVO;PE;27/05/1984;ELEITO POR QP
MA;S«O FRANCISCO DO BREJ«O;VEREADOR;TIAGO LIMA CAVALCANTE;TIAGO DO Zê JAC‡;MA;07/05/1989;ELEITO POR QP
SC;RIO RUFINO;VEREADOR;VALERIO DE SOUZA BERNARDE;VALêRIO;SC;16/11/1974;ELEITO POR QP
TO;LAGOA DA CONFUS«O;VEREADOR;ALBERTO DONATO GUTIERREZ DE PAULA;ALBERTO DA INFRA;RS;22/05/1984;ELEITO POR MêDIA
SC;TUBAR«O;VEREADOR;FELIPPE DE SOUZA TESSMANN;TESSMANN;SC;27/10/1981;ELEITO POR QP
TO;PARA÷SO DO TOCANTINS;VEREADOR;NILSON MARIA CATARINO;NILSON CATARINO;TO;02/03/1978;ELEITO POR MêDIA
PI;JARDIM DO MULATO;VEREADOR;MOISêS DA COSTA MORAES NETO;MOISêS NETO;PI;21/09/1997;ELEITO POR QP
TO;PRESIDENTE KENNEDY;VEREADOR;JOAO GUALBERTO DE SOUSA;PROFESSOR JOAOZINHO;TO;11/06/1978;ELEITO POR QP
MG;BRAÈNAS;PREFEITO;WEYNE VIRGILIO DE CARVALHO;WEYNE;MG;22/06/1967;ELEITO
TO;SAMPAIO;PREFEITO;AGNOM GOMES DA SILVA;AGNOM GOMES;TO;05/07/1979;ELEITO
AL;S«O BRµS;VEREADOR;ROBERTO FERREIRA LIMA;NININHO;AL;04/04/1974;ELEITO POR QP
AL;S«O MIGUEL DOS CAMPOS;VEREADOR;SIMONE DE LIMA E SILVA;SIMONE LIMA;PE;05/12/1981;ELEITO POR QP
MG;ALêM PARA÷BA;VEREADOR;OBERDAN MOREIRA ROCHA;OBERDAN;MG;18/09/1965;ELEITO POR MêDIA
MG;ALêM PARA÷BA;VEREADOR;SERGIO ROBERTO PAULINO DE JESUS;CRIOULO;MG;24/05/1961;ELEITO POR QP
MG;ALêM PARA÷BA;VEREADOR;LERISSON LAMEIRA RIBEIRO;LERINHO;MG;06/09/1973;ELEITO POR MêDIA
SP;AMPARO;VEREADOR;JOSE OSMAR DORIGAN;OSMAR DA FARMACIA;SP;31/07/1962;ELEITO POR QP
PR;INAJµ;VEREADOR;ARNALDO PEREIRA DE MELO;ARNALDO DO VILA;PR;17/03/1978;ELEITO POR MêDIA
BA;CAPIM GROSSO;VEREADOR;ROBERVAL RIOS DE CARVALHO;VAL DE PEDRINHO;BA;10/09/1972;ELEITO POR QP
PR;MARI‡POLIS;VEREADOR;SERGIO FRIGOTTO;SERGIO FRIGOTTO;PR;26/04/1958;ELEITO POR QP
BA;ITANHêM;VEREADOR;WHINDSON MOREIRA MENDES;NEM MENDES;MG;22/04/1975;ELEITO POR MêDIA
RS;SANTA ROSA;VEREADOR;CAUHA PEREIRA DA SILVA;CAU∂;RS;07/05/1986;ELEITO POR MêDIA
RS;SANTANA DA BOA VISTA;VEREADOR;VILLFRED JACKSON RICHTER SCHIEFELBEIN;JACKSON RICHTER;RS;14/06/1982;ELEITO POR QP
BA;JITAÈNA;VEREADOR;FRANCISCO CARLOS SILVA GOMES;XICO;BA;04/10/1954;ELEITO POR MêDIA
RS;S«O JO«O DO POL“SINE;VEREADOR;GILBERTO BISOGNIN;BETINHO;RS;15/01/1972;ELEITO POR QP
BA;JUAZEIRO;VEREADOR;JEAN CHARLES GOMES DOS SANTOS;JEAN GOMES;BA;08/09/1973;ELEITO POR QP
SP;BRODOWSKI;VEREADOR;MARCOS ANT‚NIO MOROTI;MOROTI;SP;13/03/1970;ELEITO POR QP
SC;µGUA DOCE;VEREADOR;ROGêRIO DAVI HEBERLE;ROGêRIO HEBERLE;SC;24/08/1971;ELEITO POR QP
PR;RIO BRANCO DO IVA÷;PREFEITO;PEDRO TABORDA DESPLANCHES;PEDRO TABORDA;PR;11/03/1964;ELEITO
MG;FEL÷CIO DOS SANTOS;VEREADOR;GERSI DE BRITO;GERSI BRITO;MG;06/09/1963;ELEITO POR QP
MG;FEL÷CIO DOS SANTOS;VEREADOR;WLADIMIR ANT‚NIO CANUTO;WLADIMIR CANUTO;MG;31/05/1967;ELEITO POR MêDIA
PR;PARANAGUµ;VEREADOR;GIOVANNE DO ROCIO DE LIMA MARTINS;GIOVANNE MARTINS;PR;01/06/1983;ELEITO POR QP
RN;ESP÷RITO SANTO;VEREADOR;JOAB GOMES DE LIMA;JOAB;RN;12/12/1972;ELEITO POR MêDIA
MG;PEDRO TEIXEIRA;VEREADOR;ALICE CRISTINA DE OLIVEIRA;ALICE;MG;24/07/2004;ELEITO POR MêDIA
SC;ARAQUARI;VEREADOR;NEUZIR ELIO MACHADO;NENêM;PR;04/03/1975;ELEITO POR QP
MG;PIRAÈBA;VEREADOR;JOSMAR TOLEDO XAVIER;JOSMAR XAVIER;MG;24/09/1974;ELEITO POR QP
SC;BRAÄO DO NORTE;VEREADOR;RAMIRIS VIEIRA NAZARIO;RAMIRIS BIGA;SC;03/04/1991;ELEITO POR QP
SC;BRAÄO DO NORTE;VEREADOR;PAMELYS DE BARROS;PAMELYS BARROS;PR;08/01/1994;ELEITO POR QP
SC;MODELO;VEREADOR;IASSER DANIEL CESCO;IASSER CESCO;SC;31/07/1984;ELEITO POR QP
RR;RORAIN‡POLIS;VEREADOR;MARCIO ALVES DE SOUSA;MARCINHO;RR;14/05/1991;ELEITO POR QP
RR;RORAIN‡POLIS;VEREADOR;FRANCISCA ANDREIA GOMES DE FREITAS;ANDRêIA GOMES;RR;11/10/1974;ELEITO POR MêDIA
SP;IGARAÄU DO TIET“;VEREADOR;LUCAS GUSTAVO VICENTE;GU LOVE;SP;23/10/1982;ELEITO POR QP
SC;PAINEL;VEREADOR;IRINEU BALDESSAR;IRINEU;SC;28/01/1959;ELEITO POR QP
MG;PORTEIRINHA;VEREADOR;WANDERSON LUIS COSTA OLIVEIRA;PI«O;MG;26/03/1981;ELEITO POR QP
RS;GAURAMA;VEREADOR;PAULO COMANDULLI;PAULO COMANDULLI;RS;16/01/1956;ELEITO POR MêDIA
RS;NOVA PRATA;VEREADOR;VINICIO REINELLI;VINICIO REINELLI;RS;18/05/1979;ELEITO POR MêDIA
RS;NOVA RAMADA;VEREADOR;DULCINEIA MARIA BORDIGNON EICKHOFF;DULCINEIA;RS;01/08/1987;ELEITO POR QP
AL;CANAPI;PREFEITO;JOSêLIA MELO DE LIMA;JOSêLIA IRM« DE Zê HERMES;AL;05/03/1971;ELEITO
SC;PRESIDENTE GETÈLIO;VEREADOR;MAURINO HOEPERS;MAURINO;SC;15/02/1969;ELEITO POR QP
MG;TABULEIRO;VEREADOR;MARTA HELENA DE OLIVEIRA SILVA;PRETINHA DO JACUBA;MG;29/07/1966;ELEITO POR QP
SP;ITARIRI;VEREADOR;ELIAS PEREIRA LOPES;ELIAS NOVA ITARIRI;MG;25/11/1976;ELEITO POR QP
ES;ITAPEMIRIM;PREFEITO;GENESIS ALVES BECHARA;GENINHO;ES;22/03/1989;ELEITO
SC;VIDEIRA;VEREADOR;LEANDRO CASSIANO DE MORAIS;LEANDRO MORAIS;SC;03/04/1984;ELEITO POR MêDIA
MS;VICENTINA;VEREADOR;LUPêRCIO NANTES CASTILHO;LUPêRCIO DO CLUBE DE LAÄO;SP;02/10/1961;ELEITO POR QP
SP;LARANJAL PAULISTA;VEREADOR;MARCIO JOSE GARPELLI;MARCIO GARPELLI;SP;06/12/1970;ELEITO POR MêDIA
SE;ITABAIANINHA;VEREADOR;JOSEVANIA SOARES DINIZ;VANIA DE TETE;SE;14/08/1973;ELEITO POR MêDIA
BA;MANOEL VITORINO;VEREADOR;VALDIMAR SANTANA SILVA;VALDIMAR DO SINDICATO;BA;04/05/1987;ELEITO POR MêDIA
SE;LAGARTO;VEREADOR;JOSIVALDO ALVES SANTOS;JOSIVALDO DA EQUOTERAPIA;SE;09/06/1975;ELEITO POR QP
SP;NOVA CAMPINA;VEREADOR;SANDRO LUCIO DUTRA;SANDRO DUTRA;MG;25/03/1988;ELEITO POR QP
MT;PORTO DOS GAÈCHOS;VEREADOR;JULIANA MICHELI AREND;JULIANA AREND;MT;20/11/1985;ELEITO POR MêDIA
BA;RETIROL∂NDIA;VEREADOR;ELISANDRO SILVA MOREIRA;SANDRO DA VARGEM;BA;06/04/1977;ELEITO POR QP
MT;PORTO DOS GAÈCHOS;VEREADOR;LEANDRO BUDKE;LEANDRO BUDKE;MT;28/10/1992;ELEITO POR QP
SP;ANDRADINA;VEREADOR;LEANDRO CESAR ATAIDE;LEANDRO ATAIDE;SP;28/04/1986;ELEITO POR QP
CE;BARREIRA;VEREADOR;AMAURY MARTINS JAC‡;AMAURY JAC‡;CE;20/06/1968;ELEITO POR QP
CE;MISS«O VELHA;VEREADOR;JOSE LEVI ALMEIDA MACEDO;LEVI MACEDO;CE;31/05/1996;ELEITO POR QP
AM;COARI;VEREADOR;EDILSON DE OLIVEIRA LIMA;EDILSON LIMA;PA;15/01/1969;ELEITO POR QP
SP;RIBEIR«O CORRENTE;VEREADOR;ALINE MARIA CARRER DA SILVA;ALINE CARRER;SP;13/07/1989;ELEITO POR MêDIA
SP;RIBEIR«O PRETO;VEREADOR;ANDRê ELIAS RODINI LUIZ;ANDRê RODINI;SP;02/08/1968;ELEITO POR QP
AM;ENVIRA;VEREADOR;ROMULO DA SILVA OLIVEIRA;MOZIM;AM;17/08/1989;ELEITO POR QP
AM;S«O PAULO DE OLIVENÄA;VEREADOR;WALKER RIBEIRO MARTINS;WALKER MARTINS;AM;30/01/1982;ELEITO POR QP
AM;URUCARµ;VEREADOR;MIQUEIAS PRESTES DE SOUZA;MIQUEIAS SOUZA;AM;08/09/1986;ELEITO POR QP
AP;FERREIRA GOMES;VEREADOR;ARLAN PATRICIO MOREIRA RODRIGUES;COLORAU;AP;10/07/1985;ELEITO POR QP
BA;AMARGOSA;VEREADOR;VALTER LUIZ DOS SANTOS;VALTER BAITINGA;BA;19/08/1966;ELEITO POR QP
SP;IGUAPE;VEREADOR;EDUARDO DE LARA;EDUARDO LARA;SP;27/05/1982;ELEITO POR QP
SP;SANTA ISABEL;VEREADOR;NEURISVAN LUCIO DE AZEVEDO;NEGAVAN;PB;13/02/1977;ELEITO POR MêDIA
BA;CONCEIÄ«O DO COITê;VEREADOR;VALDEMAR NUNES DE ALMEIDA;MAZINHO DA AMBULANCIA;BA;28/05/1979;ELEITO POR MêDIA
SP;MONTE MOR;VEREADOR;BRUNO HENRIQUE LEITE CAMARGO;BRUNO LEITE;SP;21/05/1987;ELEITO POR QP
SP;S«O MIGUEL ARCANJO;VEREADOR;CLAUDIO SATORU WATANABE;CLAUDIO SATORO;SP;06/05/1982;ELEITO POR QP
SP;NOVA CASTILHO;VEREADOR;WEMERSON LUIS SANT ANA;WEMERSON RATO;SP;05/02/1987;ELEITO POR QP
BA;JABORANDI;VEREADOR;GETULINO DE SOUZA CORREIA;GETO DE GERVµSIO;BA;17/07/1958;ELEITO POR QP
PR;PARANAVA÷;VEREADOR;ROBERTO MARRIQUE;SARGENTO MARRIQUE;PR;17/03/1970;ELEITO POR QP
GO;RIO QUENTE;VEREADOR;ALDO PEREIRA NEVES;ALDO PEREIRA;GO;17/12/1983;ELEITO POR QP
GO;VILA BOA;VEREADOR;CLISTENES JOSE FERNANDES;CLISTIN DA AGROPECUARIA;GO;23/05/1982;ELEITO POR MêDIA
SP;ROSANA;VEREADOR;MARCELO AGUIAR CAVALHEIRO;MARCELO DA FARMµCIA;PR;01/04/1983;ELEITO POR QP
PR;PIRA÷ DO SUL;VEREADOR;GLORIA MARIA DE MELO BONFIM;GLORINHA DA AGROSUL;PR;23/11/1960;ELEITO POR QP
PR;PORTO RICO;VEREADOR;LUIZ ANTONIO LUIZAO;LUIZAO;SP;24/11/1954;ELEITO POR MêDIA
PE;AFOGADOS DA INGAZEIRA;VEREADOR;LUCINEIDE CORDEIRO MARINHO;LUCINEIDE DO SINDICATO;PE;27/09/1985;ELEITO POR MêDIA
PE;AFOGADOS DA INGAZEIRA;VEREADOR;CICERO RAMOS DE SOUZA;CICERO MIGUEL;PE;08/03/1948;ELEITO POR QP
PE;AFOGADOS DA INGAZEIRA;VEREADOR;MARIO SIQUEIRA MARTINS;MARIO MARTINS;PE;21/08/1975;ELEITO POR QP
PR;TAPEJARA;VEREADOR;MARIA APARECIDA CALDEIRA NUNES;CIDA DA SAÈDE;PR;15/06/1971;ELEITO POR QP
PE;CUST‡DIA;VEREADOR;EDNALVO FERREIRA DE GOIS;BITCHO GOIS;PE;27/05/1985;ELEITO POR QP
SP;DRACENA;PREFEITO;GENI PEREIRA LOBO PESIN;GENI LOBO DA SAÈDE;SP;13/05/1965;ELEITO
SC;ERVAL VELHO;VEREADOR;FLµVIA HELENA RECALCATTI;FLAVIA;SC;23/03/1982;ELEITO POR QP
PE;MACAPARANA;VEREADOR;JOSê SAMUEL BARBOSA DA SILVA;SAMUEL DA AUTO ESCOLA;PE;10/09/1974;ELEITO POR QP
SC;ERVAL VELHO;VEREADOR;FABIO TROMBETTA;FABIO DA SAÈDE;PR;28/04/1981;ELEITO POR MêDIA
RJ;ARARUAMA;VEREADOR;ARIDIO MARTINS VIEIRA FILHO;ARIDINHO;RJ;29/05/1964;ELEITO POR QP
PB;LASTRO;VEREADOR;JOSE JUNIO DE ABRANTES;Zê JUNIOR;PB;06/12/1981;ELEITO POR QP
PI;PADRE MARCOS;VEREADOR;EMANOELA CONRADO SOUSA LIMA;MANINHA;PI;07/09/1976;ELEITO POR QP
PR;GUARACI;VEREADOR;EDINALDO DE JESUS DA SILVA;EDINALDO;PR;16/12/1975;ELEITO POR QP
PR;IPOR«;VEREADOR;LEONARDO FLORES DOS SANTOS;LêO;PR;25/09/2002;ELEITO POR MêDIA
PR;IPOR«;VEREADOR;JUBINEIS ALVES DOS REIS;KELê;PR;14/09/1974;ELEITO POR MêDIA
SP;AMERICANA;VEREADOR;PAULO EDUARDO DIAS JUNIOR;JUNINHO DIAS;SP;16/08/1988;ELEITO POR QP
PE;IPOJUCA;VEREADOR;EDUARDO CLEITON DE SANTANA;PROFESSOR EDUARDO;PE;08/08/1983;ELEITO POR QP
PE;LAGOA GRANDE;VEREADOR;LINDACI RAMOS DE AMORIM;LINDACI AMORIM;PE;18/06/1969;ELEITO POR QP
SP;AMERICANA;VEREADOR;JEAN CARLOS MIZZONI;JEAN MIZZONI;SP;29/09/1986;ELEITO POR QP
PE;PANELAS;VEREADOR;JOSê CASSIANO DA SILVA;Zê JÈLIO;PE;20/06/1969;ELEITO POR MêDIA
RS;SANTA MARGARIDA DO SUL;VEREADOR;GIOVANE DE ANDRADE NEVES;GIOVANE DE ANDRADE NEVES;RS;02/05/1973;ELEITO POR MêDIA
RJ;NOVA IGUAÄU;VEREADOR;IGOR PORTO GAVAZZI;IGOR PORTO;RJ;13/09/1984;ELEITO POR MêDIA
PR;CALIF‡RNIA;PREFEITO;PAULO SêRGIO CHILEIDE;PAULO DA PADARIA;PR;04/04/1986;ELEITO
PI;S«O JO«O DA CANABRAVA;VEREADOR;ELIZ∂NGELA DOS SANTOS CHAGAS;ELIZ∂NGELA CHAGAS;SP;13/11/1975;ELEITO POR QP
PR;NOVA SANTA ROSA;PREFEITO;LARI HITZ;LARI HITZ;RS;23/03/1953;ELEITO
PR;CAPANEMA;VEREADOR;EDSON WILMSEN;EDSON WILMSEN;PR;05/10/1967;ELEITO POR QP
RN;TOUROS;VEREADOR;JOSE DA SILVA TORRES;DEDE SERRA VERDE;RN;18/04/1962;ELEITO POR QP
RO;COSTA MARQUES;VEREADOR;SILENE BARRETO MARQUES DO NASCIMENTO;PROFESSORA SILENE;PR;29/04/1972;ELEITO POR MêDIA
PR;COLOMBO;VEREADOR;MAICON CUSTODIO MARTINS FERREIRA BARBOSA;MAICON MARTINS;PR;20/09/1986;ELEITO POR MêDIA
RS;RONDA ALTA;VEREADOR;KLEBER LUIS CIVARDI;GALO;RS;03/04/1976;ELEITO POR MêDIA
MG;OURO PRETO;VEREADOR;JOSê GERALDO MUNIZ;ZE DO BINGA;MG;25/11/1964;ELEITO POR QP
RS;GENERAL C∂MARA;VEREADOR;ISMAEL LIMA DA SILVA;ISMAEL LIMA;RS;23/09/1979;ELEITO POR QP
SC;ANCHIETA;VEREADOR;PAULO CESAR SARTORI;PAULINHO TAXISTA;SC;07/06/1971;ELEITO POR QP
MG;OURO PRETO;VEREADOR;ALEX SILVA DE BRITO;ALEX BRITO;MG;25/01/1985;ELEITO POR QP
RS;NOVA BRêSCIA;VEREADOR;RODRIGO ANTONIO VIECELI;RODRIGO VIECELI;RS;22/10/1980;ELEITO POR QP
PI;SIGEFREDO PACHECO;PREFEITO;MURILO BANDEIRA DA SILVA;PROFESSOR MURILO BANDEIRA;PI;22/02/1978;ELEITO
PR;CAMPINA GRANDE DO SUL;PREFEITO;LUIZ CARLOS ASSUNÄ«O;LUIZ ASSUNÄ«O;SC;17/04/1955;ELEITO
RJ;NITER‡I;PREFEITO;RODRIGO NEVES BARRETO;RODRIGO NEVES;RJ;28/06/1976;2ß TURNO
SP;C∂NDIDO MOTA;VEREADOR;VINICIUS APARECIDO BAPTISTA DO NASCIMENTO;VINICIUS NASCIMENTO;SP;23/07/1996;ELEITO POR MêDIA
RS;PAIM FILHO;VEREADOR;DAVID CONTE;DAVID CONTE;RS;29/11/1966;ELEITO POR QP
RS;PELOTAS;VEREADOR;MARISA ELO÷DES SCHWARZER;MARISA PROTETORA DE ANIMAIS;RS;30/04/1967;ELEITO POR QP
SP;CESµRIO LANGE;VEREADOR;MARCOS DE JESUS CALAÄA;CALAÄA DO CALAÄA÷;SP;23/07/1979;ELEITO POR MêDIA
MG;SANTA BµRBARA DO LESTE;VEREADOR;ENI EDES MARCELO LOPES;MAM«O;MG;27/09/1982;ELEITO POR QP
MG;CONCEIÄ«O DO RIO VERDE;VEREADOR;GISANDRA PONCIANO MORAES FERREIRA;GISANDRA DA SAÈDE;MG;06/07/1985;ELEITO POR QP
MS;CAARAP‡;PREFEITO;MARIA LURDES PORTUGAL;PROFESSORA LURDES;PR;21/04/1968;ELEITO
PA;ALMEIRIM;PREFEITO;MARIA LUCIDALVA BEZERRA DE CARVALHO;LÈCIA DO LIDER;PA;02/03/1970;ELEITO
PE;RIBEIR«O;PREFEITO;ANA CAROLINA COELHO JORD«O;CAROL JORD«O;PE;16/08/1981;ELEITO
SP;LUTêCIA;VEREADOR;LUCAS JOSê SOUZA DE OLIVEIRA;LUCAS BOD«O;SP;24/02/1990;ELEITO POR MêDIA
MG;DORES DO TURVO;VEREADOR;DONIZETE JOSE DA SILVA;ZETINHO;MG;16/04/1972;ELEITO POR QP
MG;INIMUTABA;VEREADOR;DANIEL DINIZ VIEIRA;DANIEL BIA;MG;11/10/1972;ELEITO POR MêDIA
SP;MARTIN‡POLIS;VEREADOR;JO«O CARLOS DE OLIVEIRA;JOAO OLIVEIRA JOAO MANDIOCA;SP;06/04/1970;ELEITO POR MêDIA
SP;MIGUEL‡POLIS;VEREADOR;RODRIGO LAMBERTI MIGUEL;PROF RODRIGO DO SAID;SP;20/02/1978;ELEITO POR MêDIA
CE;MULUNGU;VEREADOR;FRANCISCO CLEANTO BEZERRA UCHOA;CLEANTO UCHOA;CE;06/02/1978;ELEITO POR QP
CE;MULUNGU;VEREADOR;EDSON LESSA VIEIRA;EDSON LESSA;CE;10/02/1984;ELEITO POR QP
CE;PEREIRO;VEREADOR;FRANCISCO EDVAN DOS SANTOS;EDVAN DO SERTAO;CE;28/10/1965;ELEITO POR QP
ES;AFONSO CLµUDIO;VEREADOR;HERNANDEZ COELHO VITORASSE;VITORASSE DA FEDERAL;ES;19/10/1980;ELEITO POR MêDIA
MS;TR“S LAGOAS;VEREADOR;DANIEL FRANCISCO DE BRITO;DANIEL DA FARMACIA;MS;23/05/1962;ELEITO POR QP
SP;OSVALDO CRUZ;VEREADOR;GERSON CREDENDIO;JUCA;SP;01/07/1957;ELEITO POR QP
ES;S«O ROQUE DO CANA«;VEREADOR;OLGA MARIA DALA BARBA SIMONELLI;OLGA SIMONELLI;ES;20/10/1956;ELEITO POR QP
MG;NOVA PORTEIRINHA;VEREADOR;MURILO NUNES SANTOS ALVES;MURILO DA PADARIA;MG;24/10/1993;ELEITO POR MêDIA
ES;SERRA;VEREADOR;EVANDRO DE SOUZA FERREIRA BRAGA;PASTOR DINHO SOUZA;ES;16/09/1981;ELEITO POR QP
MG;URUC∂NIA;VEREADOR;WILLIAN FAUSTINO;WILLIAN DA SAÈDE;MG;04/10/1977;ELEITO POR QP
