UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
PA;OURILÂNDIA DO NORTE;VEREADOR;ANTONIA AUDERISA DE OLIVEIRA ALENCAR;AUDERISA;ELEITO POR QP
MG;DOM SILVÉRIO;VEREADOR;EDA HELEM DE LELES;EDA LELES;ELEITO POR QP
PA;TERRA ALTA;VEREADOR;JOSUÉ PEREIRA DE BARROS;THIEL BARROS;ELEITO POR QP
MG;EWBANK DA CÂMARA;VEREADOR;RONALDO JOAQUIM DE OLIVEIRA;RONALDO;ELEITO POR QP
PI;ACAUÃ;VEREADOR;JOSE LOMANTO DE SOUSA COSTA;LOMANTO;ELEITO POR QP
PI;FLORESTA DO PIAUÍ;VEREADOR;JOAO FERREIRA DA SILVA;MOSQUITO;ELEITO POR QP
SP;VERA CRUZ;VEREADOR;CESAR ALESSANDRE IATECOLA;CESAR  IATECOLA;ELEITO POR QP
PI;UNIÃO;VEREADOR;VICENTE VIANA JUNIOR;JUNIOR VIANA;ELEITO POR QP
MG;VEREDINHA;VEREADOR;SEBASTIAO FERNANDES DE MACEDO;BASTIÃO DA VÓ;ELEITO POR QP
PA;REDENÇÃO;VEREADOR;RAYTANE DE  SOUZA FREITAS;RAYTANE FREITAS;ELEITO POR QP
MG;VISCONDE DO RIO BRANCO;VEREADOR;ROBSON NEI RENIER CAPOBIANGO;ROBSON CAPOBIANGO;ELEITO POR QP
MS;CHAPADÃO DO SUL;VEREADOR;JOSÉ TEIXEIRA JÚNIOR;JUNIOR TEIXEIRA;ELEITO POR QP
PR;FLÓRIDA;VEREADOR;ROSINARA CIAVOLELA;ROSINARA CIAVOLELA;ELEITO POR QP
MS;ITAPORÃ;VEREADOR;ADRIANO MARTINS DOS SANTOS;ADRIANO MARTINS;ELEITO POR QP
PB;BREJO DOS SANTOS;VEREADOR;JOSÉ PEREIRA DA SILVA NETO;ZÉ DE LENA;ELEITO POR QP
PB;BREJO DOS SANTOS;VEREADOR;ANA CLAUDIA FREITAS DE PAIVA;ANINHA DE ROMULO;ELEITO POR QP
MT;MARCELÂNDIA;VEREADOR;PEDRO JOSÉ FIABANE;PEDRO FIABANE;ELEITO POR QP
PB;JOÃO PESSOA;VEREADOR;ÍCARO FERNANDO DE OLIVEIRA CHAVES;ÍCARO CHAVES;ELEITO POR QP
TO;SANTA RITA DO TOCANTINS;VEREADOR;DOURIVAN PEREIRA DA SILVA;DOURIVAN;ELEITO POR QP
PE;BARREIROS;VEREADOR;JOSÉ IDSON WANDERLEY BATISTA;CARECA;ELEITO POR QP
TO;SÃO VALÉRIO;VEREADOR;ALAN RIBEIRO DIAS;ALAN DA OFICINA;ELEITO POR QP
PB;CAJAZEIRAS;VEREADOR;ROBERTO SANTANA DE FIGUERÊDO;ROBERTO DAS REDES;ELEITO POR QP
PB;CAJAZEIRAS;VEREADOR;LUZIA TRAJANO DE SOUZA;LUZIA TRAJANO;ELEITO POR QP
AL;DOIS RIACHOS;VEREADOR;ELMA MENEZES DOS SANTOS SOARES;ELMA MENEZES;ELEITO POR QP
AM;ATALAIA DO NORTE;VEREADOR;BRUNO LINDER GUEDES DE PAIVA;BRUNO PAIVA;ELEITO POR QP
PE;IGARASSU;VEREADOR;IRENE ROSA DA SILVA MARQUES;IRENE MARQUES;ELEITO POR QP
PE;MACHADOS;VEREADOR;JOÃO SOARES DE MORAIS;JOÃO MORAIS;ELEITO POR QP
PB;RIACHÃO;VEREADOR;GIVANILSON DE OLIVEIRA CRUZ;NILSON;ELEITO POR QP
PB;SERRA REDONDA;VEREADOR;JOSÉ ELIAS NUNES DA SILVA;DÉ DE DANDA;ELEITO POR QP
PE;RECIFE;VEREADOR;RINALDO ALVES DE LIMA JUNIOR;RINALDO JUNIOR;ELEITO POR QP
PE;SÃO JOSÉ DO BELMONTE;VEREADOR;JOSIVÂNIA RIBEIRO CRUZ SOUZA;JOSIVÂNIA DO SINDICATO;ELEITO POR QP
PI;AGRICOLÂNDIA;VEREADOR;IVONEIDE CONCEIÇÃO CAVALCANTE LOPES;IVONEIDE;ELEITO POR QP
PI;ALTO LONGÁ;VEREADOR;KARLA MILANE DA PAZ SOUSA;KARLA PAZ;ELEITO POR QP
MG;JOANÉSIA;VEREADOR;GERALDO ARCANJO DE ALMEIDA;GERALDINHO BIIA;ELEITO POR QP
BA;FEIRA DE SANTANA;VEREADOR;ISMAEL BASTOS DE SANTANA;ISMAEL BASTOS;ELEITO POR QP
PE;VERDEJANTE;VEREADOR;OSNY OSCAR XAVIER JACOB;OSNY XAVIER;ELEITO POR QP
PI;WALL FERRAZ;VEREADOR;FRANCISCO PINHEIRO LEAL;CHICHICO PINHEIRO;ELEITO POR QP
PR;ADRIANÓPOLIS;VEREADOR;EVANDRO GONCALVES PONTES;EVANDRO;ELEITO POR QP
PI;BARRA D'ALCÂNTARA;VEREADOR;JOSEANE DA SILVA NUNES;JOSY;ELEITO POR QP
PI;FARTURA DO PIAUÍ;VEREADOR;JOSÉ DO CARMO NEVES JUNIOR;JUNIOR NEVES;ELEITO POR QP
MG;MANHUAÇU;VEREADOR;RALLEY DE PAIVA HOTT;RALLEY HOTT;ELEITO POR QP
PR;CAMPO BONITO;VEREADOR;JOSÉ CRISTANI;JOSÉ CRISTANI;ELEITO POR QP
PR;CAMPO BONITO;VEREADOR;SERGIO FERNANDES DOS SANTOS;SERGINHO;ELEITO POR QP
PI;SÃO FRANCISCO DE ASSIS DO PIAUÍ;VEREADOR;JOÃO VICTOR DE CARVALHO SÁ;JOÃO VICTOR;ELEITO POR QP
PR;AMPÉRE;VEREADOR;JOELSON OENNING;PROFESSOR TOCO;ELEITO POR QP
PR;JUNDIAÍ DO SUL;VEREADOR;LORENA LUANA ROMÃO;LORENA ROMÃO;ELEITO POR QP
PR;ARAPOTI;VEREADOR;LUCIANO FERREIRA DA SILVA;LUCIANO VAVÁ;ELEITO POR QP
PR;LONDRINA;VEREADOR;THIAGO HENRIQUE DE SOUZA;CHAVÃO;ELEITO POR QP
PR;BELA VISTA DO PARAÍSO;VEREADOR;JOELMA BALBINO DOS SANTOS;JOELMA DA PADARIA;ELEITO POR QP
MG;NOVA SERRANA;VEREADOR;GUILHERME BUENO LEMOS;GUILHERME BUENO;ELEITO POR QP
RS;SÃO PEDRO DO BUTIÁ;VEREADOR;EUGÊNIO TIAGO RAUBER;EUGÊNIO RAUBER;ELEITO POR QP
RS;SÃO PEDRO DO BUTIÁ;VEREADOR;CARLOS ALBERTO LIMBERGER;CARLOS LIMBERGER - MAGUILA;ELEITO POR QP
RJ;NOVA FRIBURGO;VEREADOR;DIRCEU SILVESTRE TARDEM;DIRCEU TARDEM;ELEITO POR QP
MG;SALTO DA DIVISA;VEREADOR;LINDOMAR BARBOSA DE SOUZA;LINDOMAR BARBOSA;ELEITO POR QP
MG;COQUEIRAL;VEREADOR;GILNEI VILAS BOAS;GILNEI MOTORISTA;ELEITO POR QP
MG;CÓRREGO DANTA;VEREADOR;DIEVISON DE PAULA EUZEBIO BERNARDES;DIEVISON PADEIRO;ELEITO POR QP
MG;GUARACIAMA;VEREADOR;EVALDO DE JESUS CARDOSO;EVALDO DA ESTIVA;ELEITO POR QP
MG;GURINHATÃ;VEREADOR;ESLI ANTONIO FREITAS FONTES;ESLI FONTES;ELEITO POR QP
MG;JAPONVAR;VEREADOR;MARCELLO VIEIRA SOARES;MARCELO DA SAÚDE;ELEITO POR QP
RN;ITAJÁ;VEREADOR;CARLOS MARCONDES MATIAS LOPES;MARCONDES;ELEITO POR QP
MS;PARANAÍBA;VEREADOR;SINDOLEY LUIZ DE SOUZA MORAIS;SINDOLEY MORAIS;ELEITO POR QP
MG;LAGOA DOS PATOS;VEREADOR;RONEI PEREIRA DA SILVA;RONEI PUFU;ELEITO POR QP
MG;MATO VERDE;VEREADOR;CICERO CARDOSO DE FARIAS;CICERO DE JOAO DE OLHOS DAGUA;ELEITO POR QP
RO;ARIQUEMES;VEREADOR;FILIPE RASSEN ROZIQUE;FILIPE ROZIQUE DA FAAR;ELEITO POR QP
MG;ITABIRA;VEREADOR;BERNARDO DE SOUZA ROSA;BERNARDO ROSA;ELEITO POR QP
RS;CAIBATÉ;VEREADOR;NEUSA MARIA MARX;NEUSA MARX;ELEITO POR QP
RS;DAVID CANABARRO;VEREADOR;SEDIRLEI GODINHO DOS SANTOS;SIDI GODINHO;ELEITO POR QP
RS;FAXINAL DO SOTURNO;VEREADOR;ALEX VICENTE VESTENA;ALEX VESTENA;ELEITO POR QP
TO;BREJINHO DE NAZARÉ;VEREADOR;DELZUITE SOARES DE ABREU;DELZUITE DO TREZE;ELEITO POR QP
TO;PONTE ALTA DO TOCANTINS;VEREADOR;MATHEUS RUFFO AIRES DE SENA;MATHEUS RUFFO;ELEITO POR QP
MG;SANTANA DE CATAGUASES;VEREADOR;JEAN CARLOS SANTOS DE SOUZA;JEAN DO CASQUEIRO;ELEITO POR QP
MG;SÃO JOSÉ DO DIVINO;VEREADOR;PAULO VINÍCIUS FERREIRA DE SOUZA;PAULINHO DE DÃO;ELEITO POR QP
CE;ABAIARA;VEREADOR;MANOEL LUIZ ALVES FILHO;MANOEL ALVES;ELEITO POR QP
MS;ARAL MOREIRA;VEREADOR;CAMILLA DE OLIVEIRA FATALA LEITE;CAMILLA FATALA;ELEITO POR QP
CE;BELA CRUZ;VEREADOR;JOAO CARLOS DE MORAIS;JOAOZINHO DA CHAPA;ELEITO POR QP
MG;SENADOR FIRMINO;VEREADOR;GUILHERME DE OLIVEIRA GARCIA;GUILHERME TOKINHA;ELEITO POR QP
MS;CAMAPUÃ;VEREADOR;DAYANE FERNANDES AMORIM;DAYANE FERNANDES;ELEITO POR QP
CE;PIQUET CARNEIRO;VEREADOR;ROBERTO PINHEIRO PAIS;ROBERTO DO SINDICATO;ELEITO POR QP
BA;CACHOEIRA;VEREADOR;MARCOS VINICIUS ELIAS DE JESUS;MARQUINHOS DA LADEIRA;ELEITO POR QP
CE;TIANGUÁ;VEREADOR;EMERSON CORDEIRO DE VASCONCELOS;EMERSON VASCONCELOS;ELEITO POR QP
BA;HELIÓPOLIS;VEREADOR;MANOEL RODRIGUES MATOS;MANOEL DO TIJUCO;ELEITO POR QP
BA;ITABUNA;VEREADOR;ELDON ALMEIDA DOS SANTOS;ELDON ORÊA;ELEITO POR QP
MG;UNAÍ;VEREADOR;IVANILZA BORGES;IVANILZA BORGES (TIA IVANILZA);ELEITO POR QP
MS;COXIM;VEREADOR;LUIZ EDUARDO DOS SANTOS;LUIZ EDUARDO;ELEITO POR QP
MA;AFONSO CUNHA;VEREADOR;ANTONIO FRANCISCO ALVES;PROFESSOR PAIZINHO;ELEITO POR QP
PR;SANTA CRUZ DE MONTE CASTELO;VEREADOR;ARMANDO DE MEIRA GARCIA;BOLA;ELEITO POR QP
MA;CIDELÂNDIA;VEREADOR;RIVELINO DA CONCEICAO SILVA;RIVELINO DA CACAMBA;ELEITO POR QP
TO;PIRAQUÊ;VEREADOR;MARIA APARECIDA RODRIGUES SILVA;NENE DO RAIMUNDO RODRIGUES;ELEITO POR QP
AL;BRANQUINHA;VEREADOR;FRANCISCO PEREIRA DA SILVA;FRANÇUAR;ELEITO POR QP
AL;BRANQUINHA;VEREADOR;MARIA LUCIA LEITE DA SILVA;LUCIA LEITE;ELEITO POR QP
MA;SÃO BENTO;VEREADOR;ANA VERA VIEGAS BARROS;VERINHA DO SINDICATO;ELEITO POR QP
MA;SÍTIO NOVO;VEREADOR;LEONEL SIGMAR DOS REIS;LÉO DO LORIM;ELEITO POR QP
AL;OLIVENÇA;VEREADOR;LUCAS SILVA DE MELO;LUCAS DUDA;ELEITO POR QP
AL;ARAPIRACA;VEREADOR;ROGERIO PEREIRA MELO;ROGERIO NEZINHO;ELEITO POR QP
AL;ARAPIRACA;VEREADOR;RAMONN IZIDORO SOARES ALVES;RAMON IZIDORO;ELEITO POR QP
AM;HUMAITÁ;VEREADOR;SAMUEL MENDONCA DE MORAES;SAMUEL DA COLONIA;ELEITO POR QP
RN;GROSSOS;VEREADOR;RAIMUNDO FAGNER DE OLIVEIRA;FAGUINHO DE PERNAMBUQUINHO;ELEITO POR QP
RO;NOVA MAMORÉ;VEREADOR;FRANCISCO CELIO BRITO SILVA;CÉLIO BRITO;ELEITO POR QP
BA;LAJE;VEREADOR;RENE MACEDO DOS SANTOS;RENE E SEUS TECLADOS;ELEITO POR QP
PR;SÃO CARLOS DO IVAÍ;VEREADOR;REGIANE AMALIA PRIMÃO;REGIANE PRIMÃO;ELEITO POR QP
PR;OURO VERDE DO OESTE;VEREADOR;RAFAEL HENRIQUE FEDEL ZORZO;RAFAEL ZORZO;ELEITO POR QP
PR;PAIÇANDU;VEREADOR;DOUGLAS RODRIGUES MORGADO;ENFERMEIRO DOUGLAS;ELEITO POR QP
PR;SERTANEJA;VEREADOR;CORNÉLIO NOGUEIRA NETO;CORNELINHO;ELEITO POR QP
SP;BAURU;VEREADOR;MANOEL AFONSO LOSILA;MANÉ LOSILA;ELEITO POR QP
BA;PINTADAS;VEREADOR;MARIO SERGIO ARAUJO SANTANA;MARIO SERGIO;ELEITO POR QP
RJ;BELFORD ROXO;VEREADOR;JULIO CESAR PEREIRA DE OLIVEIRA;JUNINHO DO PICA PAU;ELEITO POR QP
CE;ALTO SANTO;VEREADOR;LUAN MAGALHÃES DE OLIVEIRA;LUAN SEGUROS;ELEITO POR QP
CE;AMONTADA;VEREADOR;NARCELIO DOS ANJOS ALMEIDA;NARCELIO ALMEIDA;ELEITO POR QP
CE;AQUIRAZ;VEREADOR;JOSE RIBAMAR LIMA;BABÁ DO CAMARÁ;ELEITO POR QP
RJ;MARICÁ;VEREADOR;RICARDO MAGALHAES GARCIA GUTIERREZ;RICARDINHO NETUNO;ELEITO POR QP
RJ;MARICÁ;VEREADOR;RITA DE CÁSSIA ROCHA LIVERMORE;RITA ROCHA;ELEITO POR QP
SP;GUZOLÂNDIA;VEREADOR;MARIA CRISTINA DE SOUZA;CRISTINA SOUZA;ELEITO POR QP
SP;GUZOLÂNDIA;VEREADOR;EZEQUIAS RODRIGUES LOPES;EZEQUIAS;ELEITO POR QP
GO;LUZIÂNIA;VEREADOR;EVERALDO MEIRELES RORIZ;EVERALDO MEIRELES;ELEITO POR QP
SP;PARANAPUÃ;VEREADOR;ALBERES GONÇALVES PEREIRA;ALBERES;ELEITO POR QP
MG;ARINOS;VEREADOR;EDUARDO FERREIRA GUIMARAES;FERREIRA;ELEITO POR QP
MG;ATALÉIA;VEREADOR;LEANDRO KRETLI DA SILVA;LÉO KRETLI;ELEITO POR QP
SP;SANTA ROSA DE VITERBO;VEREADOR;MARIO MARCO BARBOSA TITARELLI;MARINHO TITARELLI;ELEITO POR QP
RS;ARAMBARÉ;VEREADOR;ELISA KUBIAKI BIASIBETTI;ELISA BIASIBETTI;ELEITO POR QP
RS;BARRA FUNDA;VEREADOR;LAURO GARBOZZA;LAURO;ELEITO POR QP
RS;CASEIROS;VEREADOR;PAULO CELSO HOFMAN;PAULAO;ELEITO POR QP
RS;CERRO BRANCO;VEREADOR;ANDRES POTHIN;ALEMÃO POTHIN;ELEITO POR QP
SP;SANTOS;VEREADOR;DÉBORA ALVES CAMILO;DÉBORA CAMILO;ELEITO POR QP
SP;SÃO PAULO;VEREADOR;ISRAEL NANTES SANTOS;SARGENTO NANTES;ELEITO POR QP
SC;JOSÉ BOITEUX;VEREADOR;LUIZ FERNANDO NÊ-GATXÁ PATTÉ;NÉ GATXA;ELEITO POR QP
CE;URUBURETAMA;VEREADOR;JOÃO BATISTA DE SOUSA;BATISTA DO MUNDAU;ELEITO POR QP
SC;LAGUNA;VEREADOR;VALDOMIRO BARBOSA DE ANDRADE;MACHO;ELEITO POR QP
GO;SANTO ANTÔNIO DE GOIÁS;VEREADOR;GABRIEL AURÉLLIO DOS SANTOS MACHADO;GABRIEL MACHADO;ELEITO POR QP
CE;TURURU;VEREADOR;FRANCISMAR MAGALHÃES RODRIGUES;FRANCIMAR;ELEITO POR QP
PE;FLORES;VEREADOR;JEANE PEREIRA BEZERRA;JEANE LUCAS;ELEITO POR QP
MA;BURITI BRAVO;VEREADOR;ANDRESSA ISIS SILVEIRA CRUZ VIEIRA;ENFERMEIRA ANDRESSA CRUZ;ELEITO POR QP
PI;BELA VISTA DO PIAUÍ;VEREADOR;PAULO REGIS CARVALHO COELHO;PAULO REGIS;ELEITO POR QP
SC;BRAÇO DO TROMBUDO;VEREADOR;VALDECIR LEMOS;TIO VARDE;ELEITO POR QP
PR;FLORESTÓPOLIS;VEREADOR;VALDETE JOSE DE SOUZA;VAL;ELEITO POR QP
RS;REDENTORA;VEREADOR;VANDERLEI DA ROSA;VANDERLEI DA ROSA;ELEITO POR QP
SP;LEME;VEREADOR;FABIELE DE SOUZA TREVISAN BERGAMIN;FABIELE BICHO CARENTE;ELEITO POR QP
SE;ARACAJU;VEREADOR;RICARDO VASCONCELOS SILVA;RICARDO VASCONCELOS;ELEITO POR QP
MG;DURANDÉ;VEREADOR;ANTÔNIO RAMOS DE SOUZA NETO;TUNICO;ELEITO POR QP
MG;DURANDÉ;VEREADOR;SIRLEI GUERRA PAIVA;SIRLEI;ELEITO POR QP
SP;SOROCABA;VEREADOR;ANTONIO CICERO DA SILVA;TONINHO CORREDOR;ELEITO POR QP
GO;BURITI DE GOIÁS;VEREADOR;VANIR GODOFREDO FERREIRA;VANIR;ELEITO POR QP
MG;LEOPOLDINA;VEREADOR;OLDEMAR BRAZIL MONTENARI;OLDEMAR MONTENARI;ELEITO POR QP
MG;LEOPOLDINA;VEREADOR;VITOR RESENDE FRANCO;VITOR RESENDE;ELEITO POR QP
MG;PESCADOR;VEREADOR;RAYLON BATISTA DO NASCIMENTO;FAROFINHA;ELEITO POR QP
MG;PIRAPETINGA;VEREADOR;JOSÉ LOPES DE MATTOS;ZÉ LOPES;ELEITO POR QP
MG;SANTANA DO RIACHO;VEREADOR;ADRIAN JUNIOR DO COUTO;JUNINHO;ELEITO POR QP
SP;DOIS CÓRREGOS;VEREADOR;ELAINE SCARPIM NAIS;ELAINE SCARPIM;ELEITO POR QP
PA;GARRAFÃO DO NORTE;VEREADOR;FRANCISCO MARCOLINO DE ALMEIDA;BATATINHA;ELEITO POR QP
PA;GARRAFÃO DO NORTE;VEREADOR;JONAS MOURA SOARES;JONAS SOARES;ELEITO POR QP
GO;NOVA CRIXÁS;VEREADOR;WELTON LIMA DA SILVA;WELTON LIMA;ELEITO POR QP
MA;ÁGUA DOCE DO MARANHÃO;VEREADOR;JOSE RAIMUNDO PEREIRA DO NASCIMENTO;ZE RITA;ELEITO POR QP
MA;SÃO DOMINGOS DO MARANHÃO;VEREADOR;FRANCISCO VIEIRA DA SILVA;NILDO;ELEITO POR QP
MA;SÃO DOMINGOS DO MARANHÃO;VEREADOR;RAYSSA PEREIRA DO NASCIMENTO SILVA;DRA RAYSSA MARIANO;ELEITO POR QP
TO;PALMEIRAS DO TOCANTINS;VEREADOR;FRANCISCO MEIRA NETO;MEIRA;ELEITO POR QP
MA;SÃO JOSÉ DE RIBAMAR;VEREADOR;RÔMULO COSTA LOPES;RÔMULO LOIRINHO;ELEITO POR QP
MA;SÃO JOSÉ DE RIBAMAR;VEREADOR;NILTON CEZAR MENDES DUTRA;NILTON DA SAÚDE;ELEITO POR QP
PE;LAGOA DOS GATOS;VEREADOR;TARCISIO OLIVEIRA MONTEIRO;TARCISIO MONTEIRO;ELEITO POR QP
MA;VARGEM GRANDE;VEREADOR;ANTONIO GOMES LIMA FILHO;ANTONIO FILHO;ELEITO POR QP
SC;BOCAINA DO SUL;VEREADOR;MELIANA GOSS SCHLICHTING;MELIANA;ELEITO POR QP
SC;PONTE ALTA DO NORTE;VEREADOR;RODRIGO GOMES POSANSKI;RODRIGO POSANSKI;ELEITO POR QP
SC;SÃO CRISTÓVÃO DO SUL;VEREADOR;RAFAEL CHAVES BRANCO;RAFAEL BRANCO;ELEITO POR QP
PE;VITÓRIA DE SANTO ANTÃO;VEREADOR;AMARO NOGUEIRA ALVES;BAU NOGUEIRA;ELEITO POR QP
SP;RIVERSUL;VEREADOR;SIMONE VALERIO DA CRUZ;SIMONE CRUZ;ELEITO POR QP
SE;NEÓPOLIS;VEREADOR;DERIVALDO SANTANA FILHO;TINHO DE DERIVALDO;ELEITO POR QP
SE;NEÓPOLIS;VEREADOR;LUIS FERNANDO LIRA AMORIM;LUIS AMORIM;ELEITO POR QP
PE;VITÓRIA DE SANTO ANTÃO;VEREADOR;EDMILSON JOSÉ DOS SANTOS;EDMILSON DE VÁRZEA GRANDE;ELEITO POR QP
BA;IBIPEBA;VEREADOR;JOSÉ MILTON CORDEIRO BARRETO;J MILTON;ELEITO POR QP
PI;MURICI DOS PORTELAS;VEREADOR;ARNALDO DE SOUSA SANTOS;ARNALDO;ELEITO POR QP
PI;SÃO JOSÉ DO PIAUÍ;VEREADOR;ANTONIO GABRIEL DE MOURA;ANTÔNIO GABRIEL;ELEITO POR QP
SP;ÁGUAS DA PRATA;VEREADOR;RAFAEL SEBASTIÃO DEZENA DE FREITAS;RAFAEL DEZENA;ELEITO POR QP
SP;DOURADO;VEREADOR;HENRIQUE MARIANO GONÇALVES;HENRIQUE GONÇALVES;ELEITO POR QP
RS;SANTO ÂNGELO;VEREADOR;ANDRÉIA BERNARDI;ENFERMEIRA ANDRÉIA BERNARDI;ELEITO POR QP
SP;FERNANDO PRESTES;VEREADOR;VALDIRENI APARECIDA DOCE PORFIDA;VALDIRENI  PORFIDA;ELEITO POR QP
BA;JEQUIÉ;VEREADOR;WALMIR PELETEIRO MARINHO JÚNIOR;JUNIOR DE MARCIA DE XEXEU;ELEITO POR QP
PR;PAULO FRONTIN;VEREADOR;MELQUISEDEQUE VERISSIMO;DECK;ELEITO POR QP
MG;CAMPANHA;VEREADOR;CLEVERSON MARTINS RIBEIRO;KLEBINHO;ELEITO POR QP
SP;INDAIATUBA;VEREADOR;WILSON JOSÉ DOS SANTOS;WILSON ÍNDIO DA 12;ELEITO POR QP
MG;CRISTÁLIA;VEREADOR;JOAQUIM GOMES BATISTA NETO;JOAQUIM TEODORA;ELEITO POR QP
PR;SÃO MANOEL DO PARANÁ;VEREADOR;AMARILDO DE OLIVERIA CORSI;AMARILDO CORSI;ELEITO POR QP
PB;SÃO JOSÉ DA LAGOA TAPADA;VEREADOR;JOSE EDIJAIR DE SOUSA;JAIR;ELEITO POR QP
SP;MOGI GUAÇU;VEREADOR;ANGELA MARIA DE FARIAS;ANGELA FARIAS;ELEITO POR QP
PB;SOLEDADE;VEREADOR;GUSTAVO LUIZ ARAÚJO SOUTO BATISTA;GUSTAVO;ELEITO POR QP
PE;ÁGUAS BELAS;VEREADOR;LUIZ FERREIRA DOS SANTOS NETO;NETO TAVARES;ELEITO POR QP
MG;SANTA HELENA DE MINAS;VEREADOR;LUTIMAR RIBEIRO DA FONSECA;TILU;ELEITO POR QP
PI;COLÔNIA DO GURGUÉIA;VEREADOR;JOSE CARLOS GONÇALVES TEODORO;PROFESSOR CARLINHOS;ELEITO POR QP
SP;RIFAINA;VEREADOR;EDIVALDO BATISTA FERREIRA;EDIVALDO BATISTA;ELEITO POR QP
SP;UBATUBA;VEREADOR;FRANCISCO FREIRE GOMES;CEARA;ELEITO POR QP
RS;ARROIO GRANDE;VEREADOR;AILTON DA CUNHA VARGAS;KUKA ANTENAS;ELEITO POR QP
MS;GUIA LOPES DA LAGUNA;VEREADOR;DANIEL ANTONIO SILVA CABRAL;DANIEL ENFERMEIRO;ELEITO POR QP
MS;GUIA LOPES DA LAGUNA;VEREADOR;MARCUS VINÍCIUS DUARTE FERREIRA;DR MARCUS VINÍCIUS;ELEITO POR QP
PA;CASTANHAL;VEREADOR;VALDECIR ELIAS SOUSA SANTIAGO;VALDECIR SANTIAGO;ELEITO POR QP
RS;IVORÁ;VEREADOR;TIAGO CALLEGARI TONEL;TIAGO TONEL;ELEITO POR QP
RS;JARI;VEREADOR;ROSANGELA MOREIRA DA ENCARNAÇÃO SILVEIRA;ROSANGELA DO SINDICATO;ELEITO POR QP
TO;LAJEADO;VEREADOR;HELDER GOMES BORGES;HELDER BORGES;ELEITO POR QP
RS;NOVA BASSANO;VEREADOR;GILBERTO LUIS ARTIFON;BETO DA SAÚDE;ELEITO POR QP
RS;SÃO LOURENÇO DO SUL;VEREADOR;ILDO STRIDER DORING;ILDO DORING;ELEITO POR QP
RS;NOVO TIRADENTES;VEREADOR;SERGIO JOSE MILANI;SERGIO MILANI;ELEITO POR QP
RS;PINHAL GRANDE;VEREADOR;EZEQUIEL PICCIN;EZEQUIEL PICCIN;ELEITO POR QP
AL;JAPARATINGA;VEREADOR;ROOSEVELT KENNED FRANCO RODRIGUES;FERRUGEM DO BERTINHO;ELEITO POR QP
RS;VISTA ALEGRE DO PRATA;VEREADOR;GUILHERME RUGGINI;GUILHERME RUGGINI;ELEITO POR QP
PA;CURRALINHO;VEREADOR;LILIAN REGINA COSTA PUREZA;LILIAN GAIA;ELEITO POR QP
AL;JARAMATAIA;VEREADOR;EDIELMA ALENCAR CESAR MOURA;EDIELMA MOURA;ELEITO POR QP
BA;PAU BRASIL;VEREADOR;ACACIO MATOS DE MIRANDA;ACACIO;ELEITO POR QP
MG;CRISTIANO OTONI;VEREADOR;EVALDO JESUS DE SOUZA;EVALDO;ELEITO POR QP
BA;APUAREMA;VEREADOR;EMAVEL TOLENTINO DOS SANTOS SILVA;PASTOR EMAVEL;ELEITO POR QP
BA;BARRA;VEREADOR;ERENALDO ROBERTO DE SOUZA;NÔ DO PAPAGAIO;ELEITO POR QP
MG;ITUIUTABA;VEREADOR;VINICIUS FARIA DE OLIVEIRA;PROFESSOR VINICIUS ;ELEITO POR QP
PB;SÃO JOSÉ DE PIRANHAS;VEREADOR;CLAILTON PEREIRA DIAS;CLAILTON PANCADÃO;ELEITO POR QP
PB;SÃO JOSÉ DE PIRANHAS;VEREADOR;CLÓVIS BARBOSA GONÇALVES;PROFESSOR CLÓVIS;ELEITO POR QP
PE;CACHOEIRINHA;VEREADOR;GENILSON ALVES MACHADO;GENILSON DE GENILDO DENTISTA;ELEITO POR QP
PE;CATENDE;VEREADOR;JOSENALDO PAES DA SILVA;JORGE DA INTERNET;ELEITO POR QP
MG;OURO VERDE DE MINAS;VEREADOR;ALISSON SENA PONTES;ALISSON BAIXOTE;ELEITO POR QP
CE;POTIRETAMA;VEREADOR;JOSE ELIUTONALDO BEZERRA DE FREITAS;TULAU;ELEITO POR QP
PI;OEIRAS;VEREADOR;ADAUBERON DE MORAIS;BERON;ELEITO POR QP
MS;APARECIDA DO TABOADO;VEREADOR;EDSON LOURENÇO DE FREITAS;PINDUCA;ELEITO POR QP
RR;UIRAMUTÃ;VEREADOR;GEDEÃO ANDRÉ DA SILVA;PROFESSOR GEDEÃO;ELEITO POR QP
MT;CAMPO VERDE;VEREADOR;MARIA JANAINA SANTOS GUILHERME;JANAINA NORDESTINA;ELEITO POR QP
MT;NOVA LACERDA;VEREADOR;ADEMILSON GOMES SOARES;PISSUNA;ELEITO POR QP
TO;CACHOEIRINHA;VEREADOR;MAELSON NEVES DE SOUSA;MAELSON NEVES;ELEITO POR QP
RS;SARANDI;VEREADOR;VILMAR AZEREDO;ALEMÃO AZEREDO;ELEITO POR QP
RS;ERVAL SECO;VEREADOR;DOUGLAS MAURICIO HEEMANN;DOUGLAS HEEMANN;ELEITO POR QP
AL;TAQUARANA;VEREADOR;CICERA QUITERIA DA SILVA;QUITERINHA DO GILBERTO;ELEITO POR QP
SC;GUARAMIRIM;VEREADOR;MARIA ROSANA ZERMIANI FRANZ;PROFESSORA MARIA ROSANA;ELEITO POR QP
