UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
SP;JÚLIO MESQUITA;VEREADOR;SEBASTIÃO APARECIDO FELIX DE OLIVEIRA;TIÃOZINHO DO JONAS;ELEITO POR QP
SP;MATÃO;VEREADOR;PAULO AUGUSTO BERNARDI;PAULO BERNARDI;ELEITO POR QP
PA;BELÉM;VEREADOR;WASHINGTON COSTA DE ALBUQUERQUE;NENÉM ALBUQUERQUE;ELEITO POR QP
SP;PARAÍSO;VEREADOR;JOSÉ ROBERTO BARBOZA NETO;ZÉ BARBOZA;ELEITO POR QP
PA;BELÉM;VEREADOR;MAYKY TAYLY GUIMARÃES FRANCO;MAYKY VILAÇA;ELEITO POR QP
PA;BUJARU;VEREADOR;DANIEL NUNES FERREIRA;DANIEL;ELEITO POR QP
PA;NOVO REPARTIMENTO;VEREADOR;JOANES DA SILVA SANTOS;BAUÊ;ELEITO POR QP
SP;SERTÃOZINHO;VEREADOR;INACIO DE ALMEIDA LUZ;INACIO;ELEITO POR QP
SP;TAUBATÉ;VEREADOR;JOSÉ ANTÔNIO DE ANGELIS;BILILI DE ANGELIS;ELEITO POR QP
MG;EWBANK DA CÂMARA;VEREADOR;ANDREA THEREZINHA WERNECK;ANDREA WERNECK;ELEITO POR QP
MG;EWBANK DA CÂMARA;VEREADOR;SAMUEL JOSE ANTONIO FERREIRA;SASSÁ;ELEITO POR QP
SP;TAUBATÉ;VEREADOR;MOISES LUCIANO PEREIRA DOS SANTOS;MOISES PIRULITO;ELEITO POR QP
PB;BREJO DO CRUZ;VEREADOR;ONALDO FERNANDES MAIA;ONALDO MAIA ;ELEITO POR QP
PA;MOJUÍ DOS CAMPOS;VEREADOR;JOSÉ JOSICLEI SILVA DE OLIVEIRA;CLEI DO POVO;ELEITO POR QP
MG;PAINS;VEREADOR;WEULIS FRANCISCO DOS SANTOS;WEULIS SANTOS;ELEITO POR QP
PI;ALAGOINHA DO PIAUÍ;VEREADOR;LUIS ALVES GONZAGA;LUISÃO;ELEITO POR QP
PI;ALAGOINHA DO PIAUÍ;VEREADOR;CICERO CLAUDIO DE SÁ;CICERO ALBERTO;ELEITO POR QP
PA;PONTA DE PEDRAS;VEREADOR;CHARLES SHAN FURTADO GOUVEA;CHARLES SHAN;ELEITO POR QP
PI;AVELINO LOPES;VEREADOR;ZELINA PEREIRA DE SOUSA;ZELINA PEREIRA;ELEITO POR QP
PI;BAIXA GRANDE DO RIBEIRO;VEREADOR;DEONEI MENDES RODRIGUES;DIONEI MENDES;ELEITO POR QP
PI;CORONEL JOSÉ DIAS;VEREADOR;NILTAVIO REIS DAMASCENO OLIVEIRA;DR NILTAVIO REIS;ELEITO POR QP
PI;FLORIANO;VEREADOR;ANTONIO JOSE BARBOSA;ANTONIO JOSÉ;ELEITO POR QP
PI;ILHA GRANDE;VEREADOR;HENRIQUE DO NASCIMENTO BITTENCOURT;HENRIQUE DO PAULÃO;ELEITO POR QP
PI;UNIÃO;VEREADOR;LEONARDO FIALHO MACHADO NOGUEIRA;LEO DO PT;ELEITO POR QP
PA;REDENÇÃO;VEREADOR;WILMON MOTA MARTINS;NEGUINHO ELETRICISTA;ELEITO POR QP
PA;REDENÇÃO;VEREADOR;ABJO PEREIRA DOS SANTOS;JB MANINHO;ELEITO POR QP
PA;REDENÇÃO;VEREADOR;HUGO TEODORO DE SOUSA;HUGO TOMÉ;ELEITO POR QP
PA;REDENÇÃO;VEREADOR;JOÃO RODRIGUES DE SOUSA NETO;JOÃOZINHO;ELEITO POR QP
PR;FAROL;VEREADOR;JOAO NEPOSIANO DA SILVA;JOÃO PAÇOCA;ELEITO POR QP
MS;PARAÍSO DAS ÁGUAS;VEREADOR;LEONARDO CORNIANI DIAS;PROFESSOR LEONARDO;ELEITO POR QP
RS;VISTA GAÚCHA;VEREADOR;DELMA MARTINS GROLLI;DELMA;ELEITO POR QP
MT;VILA BELA DA SANTÍSSIMA TRINDADE;VEREADOR;EDSON PALACIO DE OLIVEIRA;NEM DA GUAPORÉ;ELEITO POR QP
MG;CONCEIÇÃO DOS OUROS;VEREADOR;GUILHERME EDUARDO ALVES DE MORAIS;GUILHERME DO COELHO;ELEITO POR QP
AL;DOIS RIACHOS;VEREADOR;EVERTON DE NOVAIS MELLO;EVERTON NOVAIS;ELEITO POR QP
AL;DOIS RIACHOS;VEREADOR;EVALDO BEZERRA DA SILVA VANDERLEY;VALDO WANDERLEY;ELEITO POR QP
AM;ATALAIA DO NORTE;VEREADOR;JOSÉ FRANCISCO DE ASSIS OLIVEIRA DA COSTA;ZÉ DA NETE;ELEITO POR QP
PB;CURRAL DE CIMA;VEREADOR;GUILHERME DO NASCIMENTO SOARES FILHO;GUILHERMINHO;ELEITO POR QP
MG;DATAS;VEREADOR;WILTON EFIGENIO DA SILVA;WILTON FUSQUINHA;ELEITO POR QP
MG;DATAS;VEREADOR;ANTÔNIO VALTER DOS SANTOS;TOTONHO;ELEITO POR QP
MG;DORES DO INDAIÁ;VEREADOR;CLÉBER TONACO DE SOUSA;CLÉBER TONACO SAÚDE;ELEITO POR QP
MG;FREI LAGONEGRO;VEREADOR;FLAVIO MARTINS ROSA;FLÁVIO MARTINS;ELEITO POR QP
PE;RECIFE;VEREADOR;RAFAEL ACIOLI MEDEIROS;ERIBERTO RAFAEL;ELEITO POR QP
BA;ALCOBAÇA;VEREADOR;PEDRO SAMARONY DOS SANTOS OLIVEIRA;GO DA COLONIA;ELEITO POR QP
BA;ALCOBAÇA;VEREADOR;ADROABSON WAGMAKER AGUIAR;DROZINHO;ELEITO POR QP
